Match_ID,Time,RHero1,RHero2,RHero3,RHero4,RHero5,DHero1,DHero2,DHero3,DHero4,DHero5,mmr,Rwin
5771038703, 2021-01-03 22:11:34, 44,26,17,16,21, 12,30,129,38,9, 4512, True
5771038504, 2021-01-03 22:11:15, 45,88,128,100,72, 26,25,64,16,8, 4391, False
5771038114, 2021-01-03 22:10:54, 114,123,30,85,1, 109,21,44,26,14, 4047, False
5771038110, 2021-01-03 22:10:50, 110,20,77,112,106, 34,86,26,108,42, 4207, False
5771038108, 2021-01-03 22:10:49, 93,50,88,112,56, 8,11,25,129,3, 5146, False
5771038105, 2021-01-03 22:10:39, 95,2,84,27,74, 28,44,45,75,71, 4054, True
5771037901, 2021-01-03 22:10:29, 26,112,92,11,70, 41,86,113,9,77, 4355, True
5771037816, 2021-01-03 22:10:28, 84,70,74,31,28, 114,77,30,63,107, 4177, False
5771037812, 2021-01-03 22:09:58, 74,9,30,29,93, 6,71,11,37,126, 5071, False
5771037602, 2021-01-03 22:09:54, 65,120,90,1,100, 46,5,86,8,60, 7208, False
5771037405, 2021-01-03 22:09:45, 9,17,93,5,16, 1,14,26,42,10, 4180, True
5771037306, 2021-01-03 22:09:54, 41,100,98,40,119, 51,99,43,30,8, 4007, True
5771037304, 2021-01-03 22:09:50, 44,37,13,1,25, 104,99,88,74,50, 4767, True
5771037201, 2021-01-03 22:09:44, 70,21,26,25,2, 101,9,95,121,100, 4644, True
5771037002, 2021-01-03 22:09:30, 7,43,34,51,70, 35,97,14,26,41, 4090, True
5771036801, 2021-01-03 22:09:14, 10,106,128,111,123, 25,114,39,129,87, 5022, True
5771036719, 2021-01-03 22:08:59, 86,95,99,30,44, 114,11,31,68,51, 4625, False
5771036711, 2021-01-03 22:08:44, 36,57,14,45,109, 85,129,35,25,41, 4090, True
5771036700, 2021-01-03 22:09:10, 74,64,7,114,14, 104,22,92,85,93, 4067, False
5771036514, 2021-01-03 22:08:54, 90,62,13,98,70, 10,79,105,43,65, 4215, False
5771036501, 2021-01-03 22:08:58, 104,19,5,14,93, 129,70,62,43,87, 4114, False
5771036312, 2021-01-03 22:08:44, 30,9,11,19,114, 36,14,6,26,88, 4122, True
5771036103, 2021-01-03 22:08:14, 55,71,93,17,26, 27,70,13,11,30, 4013, False
5771036102, 2021-01-03 22:08:14, 86,74,81,9,41, 14,57,17,114,26, 4112, True
5771036015, 2021-01-03 22:08:24, 74,126,32,62,26, 88,89,11,86,123, 5422, True
5771036012, 2021-01-03 22:08:08, 27,71,99,77,11, 89,120,13,9,86, 6545, False
5771036001, 2021-01-03 22:08:14, 102,106,70,128,26, 47,5,41,113,31, 4380, True
5771035903, 2021-01-03 22:08:19, 20,10,71,85,39, 42,70,66,53,77, 4402, False
5771035609, 2021-01-03 22:07:54, 26,95,72,123,99, 49,37,9,106,80, 4383, True
5771035400, 2021-01-03 22:07:43, 68,37,2,74,95, 113,21,30,128,28, 4066, True
5771035310, 2021-01-03 22:07:39, 51,126,86,1,47, 38,62,50,12,77, 4065, False
5771035307, 2021-01-03 22:07:38, 26,16,42,9,53, 105,77,39,21,27, 4197, True
5771035105, 2021-01-03 22:07:14, 27,11,9,71,8, 29,44,65,121,75, 4693, False
5771034900, 2021-01-03 22:06:34, 70,84,25,62,49, 90,88,12,16,17, 4001, False
5771034600, 2021-01-03 22:06:49, 20,11,93,107,17, 51,114,5,63,9, 4488, True
5771034414, 2021-01-03 22:06:24, 7,31,88,106,77, 27,13,98,113,119, 5843, True
5771034207, 2021-01-03 22:06:19, 123,13,28,5,44, 108,74,30,39,89, 4272, False
5771033802, 2021-01-03 22:05:39, 34,14,105,109,79, 11,44,27,63,114, 4174, True
5771033513, 2021-01-03 22:05:34, 10,70,111,101,104, 63,8,88,31,16, 4689, False
5771033511, 2021-01-03 22:05:34, 8,104,68,27,43, 56,85,86,60,25, 4249, False
5771033218, 2021-01-03 22:05:15, 33,18,26,97,74, 84,96,19,42,13, 4292, False
5771033216, 2021-01-03 22:05:13, 14,79,9,84,18, 77,11,102,25,123, 4335, False
5771033211, 2021-01-03 22:04:59, 30,18,74,81,112, 21,16,72,75,25, 4015, True
5771033114, 2021-01-03 22:05:09, 110,13,77,108,126, 1,21,75,129,123, 4144, False
5771032900, 2021-01-03 22:04:48, 1,14,64,46,81, 27,11,44,99,74, 4791, True
5771032103, 2021-01-03 22:03:58, 68,18,22,44,113, 8,21,11,3,16, 4050, True
5771032101, 2021-01-03 22:03:55, 93,30,14,86,47, 87,67,100,128,54, 4074, False
5771032009, 2021-01-03 22:03:43, 70,100,33,108,34, 99,68,74,90,32, 5295, True
5771032007, 2021-01-03 22:03:38, 15,25,64,114,2, 74,104,14,106,32, 4395, False
5771032006, 2021-01-03 22:03:24, 31,12,123,39,69, 100,101,51,11,8, 4680, False
5771031905, 2021-01-03 22:03:43, 74,10,70,7,26, 129,11,5,8,112, 4133, True
5771031514, 2021-01-03 22:03:18, 97,81,86,30,33, 95,68,120,25,104, 4832, True
5771031406, 2021-01-03 22:02:59, 10,19,93,104,31, 70,39,21,84,3, 4017, True
5771030918, 2021-01-03 22:02:28, 95,98,68,83,123, 114,107,35,64,128, 4224, False
5771030904, 2021-01-03 22:02:18, 121,106,9,128,42, 84,32,75,104,74, 4184, False
5771030619, 2021-01-03 22:02:18, 11,77,128,29,64, 61,100,67,40,84, 4717, True
5771030008, 2021-01-03 22:01:39, 27,42,113,104,87, 100,26,60,25,93, 4678, False
5771029605, 2021-01-03 22:00:54, 5,41,71,17,112, 44,61,111,33,107, 6741, False
5771029519, 2021-01-03 22:00:59, 23,5,49,14,6, 22,105,93,70,128, 4380, True
5771029417, 2021-01-03 22:00:58, 34,19,93,64,55, 74,44,84,99,31, 4459, True
5771028810, 2021-01-03 21:59:53, 100,92,28,111,6, 87,63,21,34,51, 4205, False
5771028709, 2021-01-03 22:00:08, 74,79,8,14,23, 106,84,50,12,96, 4729, False
5771028701, 2021-01-03 22:00:04, 51,93,69,17,22, 114,119,36,73,14, 4027, True
5771028610, 2021-01-03 21:59:58, 81,64,126,105,97, 75,100,74,114,129, 4336, True
5771028413, 2021-01-03 21:59:49, 114,112,56,70,7, 81,17,85,108,110, 4198, True
5771028316, 2021-01-03 21:59:33, 104,11,113,123,86, 74,26,97,67,30, 4442, False
5771028303, 2021-01-03 21:59:43, 93,123,26,84,65, 87,47,42,29,86, 5454, False
5771028118, 2021-01-03 21:59:29, 13,8,73,96,71, 84,22,87,83,42, 4070, True
5771028112, 2021-01-03 21:59:23, 13,14,73,84,1, 101,74,8,27,70, 4853, False
5771028015, 2021-01-03 21:59:23, 111,49,87,8,28, 88,44,15,121,20, 4293, True
5771027917, 2021-01-03 21:59:08, 74,14,25,84,6, 44,35,31,53,105, 4286, False
5771027916, 2021-01-03 21:59:09, 10,13,9,21,111, 12,100,34,104,37, 4223, False
5771027700, 2021-01-03 21:58:53, 71,103,93,110,87, 73,99,101,26,44, 4438, True
5771027612, 2021-01-03 21:58:48, 40,8,13,86,129, 126,84,58,23,1, 4101, False
5771027608, 2021-01-03 21:58:52, 6,26,55,32,14, 74,88,10,1,36, 4073, True
5771027311, 2021-01-03 21:58:33, 101,81,104,90,11, 67,123,68,8,14, 4061, True
5771027308, 2021-01-03 21:58:23, 109,119,65,16,100, 42,13,51,77,30, 4839, True
5771027204, 2021-01-03 21:58:28, 11,58,8,101,28, 90,85,109,119,104, 4397, False
5771026918, 2021-01-03 21:58:03, 78,128,64,12,68, 110,17,113,31,6, 4023, True
5771026613, 2021-01-03 21:57:43, 114,126,30,86,106, 5,7,84,56,32, 4005, True
